"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5","dataValue 6","dataValue 7","dataValue 8","dataValue 9","dataValue 10"
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,6,"AFG","Afghanistan","No",2014,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,6,"AFG","Afghanistan","Yes",2018,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,6,"AFG","Afghanistan","Yes",2019,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,6,"AFG","Afghanistan","No",2020,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,6,"AFG","Afghanistan","No",2021,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,6,"AFG","Afghanistan","Yes",2022,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,7,"ZAF","South Africa","Yes",2015,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,7,"ZAF","South Africa","Yes",2016,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,7,"ZAF","South Africa","Yes",2017,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,7,"ZAF","South Africa","Yes",2018,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,7,"ZAF","South Africa","Yes",2019,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,7,"ZAF","South Africa","Yes",2020,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,7,"ZAF","South Africa","Yes",2021,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,7,"ZAF","South Africa","Yes",2022,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,10,"ALB","Albania","Yes",2014,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,10,"ALB","Albania","Yes",2015,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,10,"ALB","Albania","Yes",2016,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,10,"ALB","Albania","Yes",2017,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,10,"ALB","Albania","Yes",2018,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,10,"ALB","Albania","Yes",2019,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,10,"ALB","Albania","Yes",2020,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,10,"ALB","Albania","Yes",2021,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,10,"ALB","Albania","Yes",2022,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,11,"DZA","Algeria","No",2015,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,11,"DZA","Algeria","No",2016,"","","",,,,,,,,,,
8427,"trCybersecurity_RegulatorResponsible","ICT regulator have a cybersecurity mandate",,,11,"DZA","Algeria","No",2017,"","","",,,,,,,,,,
