"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4"
3018,"trLicAgreement_AreMadePublic","Information on licensing agreements",,,6,"AFG","Afghanistan","Yes",2004,"","","",,,,
3018,"trLicAgreement_AreMadePublic","Information on licensing agreements",,,6,"AFG","Afghanistan","Yes",2005,"","","",,,,
3018,"trLicAgreement_AreMadePublic","Information on licensing agreements",,,6,"AFG","Afghanistan","Yes",2014,"","","",,,,
3018,"trLicAgreement_AreMadePublic","Information on licensing agreements",,,6,"AFG","Afghanistan","Yes",2018,"","","",,,,
3018,"trLicAgreement_AreMadePublic","Information on licensing agreements",,,6,"AFG","Afghanistan","Yes",2019,"","","",,,,
3018,"trLicAgreement_AreMadePublic","Information on licensing agreements",,,6,"AFG","Afghanistan","Yes",2020,"","","",,,,
3018,"trLicAgreement_AreMadePublic","Information on licensing agreements",,,6,"AFG","Afghanistan","Yes",2021,"","","",,,,
3018,"trLicAgreement_AreMadePublic","Information on licensing agreements",,,7,"ZAF","South Africa","Yes",2003,"","","",,,,
3018,"trLicAgreement_AreMadePublic","Information on licensing agreements",,,7,"ZAF","South Africa","Yes",2004,"","","",,,,
3018,"trLicAgreement_AreMadePublic","Information on licensing agreements",,,7,"ZAF","South Africa","Yes",2018,"","","",,,,
3018,"trLicAgreement_AreMadePublic","Information on licensing agreements",,,7,"ZAF","South Africa","Yes",2019,"","","",,,,
3018,"trLicAgreement_AreMadePublic","Information on licensing agreements",,,7,"ZAF","South Africa","Yes",2020,"","","",,,,
3018,"trLicAgreement_AreMadePublic","Information on licensing agreements",,,7,"ZAF","South Africa","Yes",2021,"","","",,,,
3018,"trLicAgreement_AreMadePublic","Information on licensing agreements",,,7,"ZAF","South Africa","Yes",2022,"","","",,,,
3018,"trLicAgreement_AreMadePublic","Information on licensing agreements",,,8,"AGO","Angola","Yes",2002,"","","",,,,
